online_order,book_table,votes,location,rest_type,cuisines,approx_costfor_two_people,listed_intype,listed_incity,rating
0,0,28,Banashankari,Mess,South Indian,300.0,Delivery,Banashankari,3.9
1,0,286,Banashankari,Quick Bites,"Burger, Fast Food",500.0,Delivery,Banashankari,3.9
1,0,540,Banashankari,Quick Bites,"Pizza, Fast Food",800.0,Delivery,Banashankari,3.9
1,1,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Delivery,Banashankari,4.6
0,0,36,Banashankari,Delivery,"North Indian, Continental, Italian",400.0,Delivery,Banashankari,3.8
1,0,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300.0,Delivery,Banashankari,3.6
1,0,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450.0,Delivery,Banashankari,4.0
1,0,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850.0,Delivery,Banashankari,3.7
1,0,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300.0,Delivery,Banashankari,3.1
0,0,21,Banashankari,Quick Bites,North Indian,450.0,Delivery,Banashankari,3.7
1,0,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150.0,Delivery,Banashankari,4.1
0,0,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400.0,Delivery,Banashankari,4.3
1,0,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Delivery,Banashankari,4.0
0,0,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450.0,Delivery,Banashankari,4.0
1,0,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,Banashankari,3.9
1,0,104,Banashankari,Quick Bites,"Biryani, Fast Food",300.0,Delivery,Banashankari,3.8
1,1,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,Delivery,Banashankari,4.2
0,0,55,Banashankari,Quick Bites,"Fast Food, Burger",200.0,Delivery,Banashankari,3.6
1,0,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400.0,Delivery,Banashankari,3.7
0,0,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800.0,Delivery,Banashankari,4.2
1,1,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800.0,Delivery,Banashankari,3.6
1,0,58,Basavanagudi,Quick Bites,Chinese,150.0,Delivery,Banashankari,3.8
0,1,808,Banashankari,Casual Dining,"North Indian, Chinese",850.0,Delivery,Banashankari,4.0
0,0,78,Banashankari,"Bakery, Dessert Parlor",Bakery,150.0,Delivery,Banashankari,3.7
1,0,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400.0,Delivery,Banashankari,4.1
1,0,34,Jayanagar,Quick Bites,South Indian,100.0,Delivery,Banashankari,3.6
0,0,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,Delivery,Banashankari,4.1
0,0,39,Banashankari,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari,3.8
1,0,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600.0,Delivery,Banashankari,3.2
1,0,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500.0,Delivery,Banashankari,3.6
0,0,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300.0,Delivery,Banashankari,4.1
0,0,84,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700.0,Delivery,Banashankari,2.9
0,0,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300.0,Delivery,Banashankari,3.6
1,0,558,Basavanagudi,Quick Bites,South Indian,150.0,Delivery,Banashankari,4.1
1,0,28,Banashankari,Quick Bites,"Biryani, South Indian",300.0,Delivery,Banashankari,3.6
0,0,22,Banashankari,Quick Bites,Fast Food,500.0,Delivery,Banashankari,3.7
0,0,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350.0,Delivery,Banashankari,3.8
1,0,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,Delivery,Banashankari,3.8
1,0,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400.0,Delivery,Banashankari,4.2
0,0,14,Banashankari,Sweet Shop,"Mithai, Street Food",200.0,Delivery,Banashankari,3.5
0,0,42,Banashankari,Casual Dining,"North Indian, Chinese",700.0,Delivery,Banashankari,3.8
0,0,66,Banashankari,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari,4.0
1,0,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600.0,Delivery,Banashankari,4.4
0,0,31,Banashankari,Quick Bites,North Indian,200.0,Delivery,Banashankari,3.5
0,0,7,Banashankari,Dessert Parlor,Desserts,500.0,Delivery,Banashankari,3.5
0,0,21,Banashankari,Quick Bites,Biryani,250.0,Delivery,Banashankari,3.7
0,0,9,Banashankari,Dessert Parlor,Ice Cream,300.0,Delivery,Banashankari,3.2
0,0,283,Banashankari,Casual Dining,North Indian,600.0,Delivery,Banashankari,2.6
0,0,62,Banashankari,Bar,"South Indian, North Indian, Chinese",800.0,Delivery,Banashankari,3.3
0,0,64,Banashankari,Quick Bites,"Fast Food, Bakery",250.0,Delivery,Banashankari,3.8
0,0,39,Banashankari,Casual Dining,"North Indian, Iranian",950.0,Delivery,Banashankari,3.7
0,0,65,Banashankari,Quick Bites,"Fast Food, Street Food",300.0,Delivery,Banashankari,3.7
1,0,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Delivery,Banashankari,3.8
0,0,52,Banashankari,Quick Bites,South Indian,300.0,Delivery,Banashankari,3.5
0,0,130,Banashankari,Quick Bites,South Indian,200.0,Delivery,Banashankari,3.7
0,0,10,Banashankari,Quick Bites,"South Indian, Biryani",300.0,Delivery,Banashankari,3.5
0,0,45,Banashankari,"Takeaway, Delivery",Bakery,400.0,Delivery,Banashankari,3.8
0,0,11,Banashankari,Cafe,"Cafe, Bakery",600.0,Delivery,Banashankari,3.2
0,0,13,Banashankari,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari,3.5
0,0,8,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300.0,Delivery,Banashankari,3.4
0,0,9,Banashankari,Quick Bites,Biryani,300.0,Delivery,Banashankari,3.2
0,0,4,Banashankari,Quick Bites,North Indian,300.0,Delivery,Banashankari,3.2
0,0,29,Banashankari,Quick Bites,North Indian,150.0,Delivery,Banashankari,3.1
0,0,8,Banashankari,Bakery,"Bakery, Desserts",400.0,Delivery,Banashankari,3.4
0,0,30,Banashankari,Bar,"Chinese, North Indian",1000.0,Delivery,Banashankari,3.1
1,0,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300.0,Delivery,Banashankari,4.1
0,0,7,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200.0,Delivery,Banashankari,3.3
0,0,6,Banashankari,Quick Bites,"Fast Food, South Indian",100.0,Delivery,Banashankari,3.1
0,0,17,Banashankari,Quick Bites,"Street Food, Fast Food",200.0,Delivery,Banashankari,3.3
0,0,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200.0,Delivery,Banashankari,2.9
0,0,8,Banashankari,Delivery,South Indian,100.0,Delivery,Banashankari,3.3
1,0,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450.0,Delivery,Banashankari,4.0
0,0,98,Banashankari,Bar,"North Indian, Chinese",800.0,Delivery,Banashankari,3.0
1,0,47,Basavanagudi,Quick Bites,South Indian,200.0,Delivery,Banashankari,3.9
1,1,175,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500.0,Delivery,Banashankari,4.1
1,0,58,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300.0,Delivery,Banashankari,3.8
1,0,540,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650.0,Delivery,Banashankari,3.8
1,0,124,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400.0,Delivery,Banashankari,3.8
1,0,340,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500.0,Delivery,Banashankari,4.1
1,0,505,Banashankari,Quick Bites,"Burger, Fast Food",450.0,Delivery,Banashankari,3.8
1,0,438,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Delivery,Banashankari,4.1
1,0,264,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750.0,Delivery,Banashankari,3.7
1,0,169,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150.0,Delivery,Banashankari,3.9
1,0,67,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250.0,Delivery,Banashankari,3.0
1,0,97,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350.0,Delivery,Banashankari,3.7
1,0,12,Basavanagudi,"Takeaway, Delivery",Biryani,300.0,Delivery,Banashankari,3.3
1,0,12,Banashankari,Quick Bites,Biryani,300.0,Delivery,Banashankari,3.3
1,0,195,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800.0,Delivery,Banashankari,3.6
1,0,13,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300.0,Delivery,Banashankari,3.3
1,0,228,Jayanagar,Cafe,"Cafe, Beverages",400.0,Delivery,Banashankari,4.6
1,0,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150.0,Delivery,Banashankari,4.1
1,1,364,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200.0,Delivery,Banashankari,4.1
1,0,107,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150.0,Delivery,Banashankari,3.7
1,0,167,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",300.0,Delivery,Banashankari,3.2
1,0,115,Banashankari,Sweet Shop,"Mithai, Street Food",400.0,Delivery,Banashankari,4.0
1,0,27,Banashankari,"Takeaway, Delivery","Italian, Pizza",400.0,Delivery,Banashankari,3.7
1,0,57,Banashankari,Quick Bites,Biryani,200.0,Delivery,Banashankari,3.5
1,0,120,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250.0,Delivery,Banashankari,3.8
1,0,15,Basavanagudi,Bakery,Bakery,400.0,Delivery,Banashankari,3.8
1,0,64,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,Delivery,Banashankari,4.2
1,0,66,Banashankari,Quick Bites,South Indian,150.0,Delivery,Banashankari,3.6
1,0,290,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450.0,Delivery,Banashankari,3.0
1,0,233,Basavanagudi,Quick Bites,Street Food,200.0,Delivery,Banashankari,4.1
1,0,115,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",250.0,Delivery,Banashankari,3.8
1,0,119,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700.0,Delivery,Banashankari,3.1
1,1,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650.0,Delivery,Banashankari,3.9
1,0,155,Jayanagar,Beverage Shop,"Beverages, Sandwich",300.0,Delivery,Banashankari,4.5
1,0,305,Kumaraswamy Layout,Casual Dining,Italian,700.0,Delivery,Banashankari,4.1
1,0,46,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500.0,Delivery,Banashankari,3.6
1,0,45,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",350.0,Delivery,Banashankari,3.5
1,0,38,Banashankari,Dessert Parlor,Ice Cream,150.0,Delivery,Banashankari,3.9
1,0,441,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400.0,Delivery,Banashankari,3.9
1,0,25,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,Banashankari,3.9
1,0,630,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200.0,Delivery,Banashankari,4.3
1,0,25,Kumaraswamy Layout,Quick Bites,South Indian,150.0,Delivery,Banashankari,3.8
1,0,160,Kumaraswamy Layout,Quick Bites,Arabian,300.0,Delivery,Banashankari,3.9
1,0,287,Banashankari,Quick Bites,North Indian,350.0,Delivery,Banashankari,4.2
1,0,11,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,Banashankari,3.6
1,0,402,Banashankari,Cafe,Cafe,500.0,Delivery,Banashankari,4.1
1,0,469,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750.0,Delivery,Banashankari,3.8
1,0,511,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0,Delivery,Banashankari,3.3
1,0,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0,Delivery,Banashankari,3.9
1,0,14,Banashankari,Quick Bites,South Indian,300.0,Delivery,Banashankari,3.4
1,0,264,Banashankari,Quick Bites,South Indian,200.0,Delivery,Banashankari,3.9
1,0,62,Banashankari,Cafe,"Cafe, French, North Indian",400.0,Delivery,Banashankari,3.0
1,0,693,Banashankari,Casual Dining,"Pizza, Fast Food",750.0,Delivery,Banashankari,3.8
1,0,242,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650.0,Delivery,Banashankari,3.8
1,0,27,Basavanagudi,Dessert Parlor,Fast Food,250.0,Delivery,Banashankari,3.6
1,0,163,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500.0,Delivery,Banashankari,4.1
1,0,191,Basavanagudi,Quick Bites,"Street Food, Fast Food",250.0,Delivery,Banashankari,4.2
1,0,32,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150.0,Delivery,Banashankari,3.5
1,0,247,Banashankari,Casual Dining,North Indian,500.0,Delivery,Banashankari,2.5
1,1,2339,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",1500.0,Delivery,Banashankari,4.1
1,0,337,Jayanagar,Quick Bites,"Chinese, Fast Food",300.0,Delivery,Banashankari,4.1
1,0,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800.0,Delivery,Banashankari,3.9
1,0,172,Uttarahalli,Casual Dining,"North Indian, Chinese",700.0,Delivery,Banashankari,3.6
1,0,105,Banashankari,Casual Dining,Vietnamese,700.0,Delivery,Banashankari,3.6
1,0,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Delivery,Banashankari,4.2
1,0,36,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",200.0,Delivery,Banashankari,3.2
1,0,39,Kumaraswamy Layout,Quick Bites,North Indian,300.0,Delivery,Banashankari,3.1
1,0,5,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500.0,Delivery,Banashankari,3.1
1,1,1129,Jayanagar,Casual Dining,"Italian, Salad",1300.0,Delivery,Banashankari,4.3
1,0,56,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",350.0,Delivery,Banashankari,3.9
1,0,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500.0,Delivery,Banashankari,4.3
1,0,412,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700.0,Delivery,Banashankari,3.8
1,1,142,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian",1000.0,Delivery,Banashankari,3.9
1,0,23,Jayanagar,Quick Bites,Andhra,400.0,Delivery,Banashankari,3.0
1,0,143,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750.0,Delivery,Banashankari,3.6
1,1,80,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500.0,Delivery,Banashankari,2.8
1,0,16,JP Nagar,Casual Dining,South Indian,400.0,Delivery,Banashankari,3.6
1,0,181,Jayanagar,Beverage Shop,"Beverages, Tea",250.0,Delivery,Banashankari,4.4
1,0,70,Jayanagar,Quick Bites,"North Indian, Street Food",200.0,Delivery,Banashankari,3.8
1,0,164,Basavanagudi,Quick Bites,"Pizza, Italian",600.0,Delivery,Banashankari,3.8
1,0,58,Kumaraswamy Layout,Quick Bites,"Cafe, Burger, Beverages",650.0,Delivery,Banashankari,3.6
0,0,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550.0,Delivery,Banashankari,3.8
0,0,206,Basavanagudi,Quick Bites,"South Indian, Mangalorean",450.0,Delivery,Banashankari,3.9
0,0,16,Mysore Road,Quick Bites,South Indian,300.0,Delivery,Banashankari,3.6
0,0,217,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",450.0,Delivery,Banashankari,3.7
0,0,46,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",450.0,Delivery,Banashankari,3.6
0,0,148,Basavanagudi,Quick Bites,"Fast Food, Street Food",150.0,Delivery,Banashankari,3.8
0,0,30,Basavanagudi,Dessert Parlor,Desserts,250.0,Delivery,Banashankari,3.4
0,0,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800.0,Delivery,Banashankari,3.6
0,0,4,Jayanagar,Quick Bites,South Indian,250.0,Delivery,Banashankari,3.3
0,0,15,Basavanagudi,"Bakery, Quick Bites",Bakery,400.0,Delivery,Banashankari,3.5
1,0,9,Uttarahalli,Quick Bites,Street Food,200.0,Delivery,Banashankari,3.4
1,0,31,Mysore Road,Quick Bites,"South Indian, North Indian",300.0,Delivery,Banashankari,3.7
1,0,177,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700.0,Delivery,Banashankari,2.9
1,0,22,Basavanagudi,Sweet Shop,"Mithai, Desserts",250.0,Delivery,Banashankari,3.7
1,0,10,Kumaraswamy Layout,Beverage Shop,"Juices, Beverages",100.0,Delivery,Banashankari,3.5
1,0,136,Banashankari,Quick Bites,"Salad, Fast Food",600.0,Delivery,Banashankari,3.7
1,0,35,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250.0,Delivery,Banashankari,2.9
1,0,185,Jayanagar,Quick Bites,"Juices, Desserts",200.0,Delivery,Banashankari,4.1
1,0,17,Jayanagar,Cafe,"Cafe, Fast Food",900.0,Delivery,Banashankari,3.2
1,0,155,Mysore Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400.0,Delivery,Banashankari,3.8
1,0,42,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300.0,Delivery,Banashankari,3.8
1,0,286,Basavanagudi,Casual Dining,North Indian,600.0,Delivery,Banashankari,3.8
1,0,160,Banashankari,Casual Dining,"North Indian, Chinese",700.0,Delivery,Banashankari,3.8
1,0,59,Banashankari,Casual Dining,"North Indian, Chinese",750.0,Delivery,Banashankari,3.8
1,0,90,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",500.0,Delivery,Banashankari,3.5
1,0,51,Kumaraswamy Layout,Quick Bites,"South Indian, Mangalorean",350.0,Delivery,Banashankari,3.7
1,0,89,Jayanagar,Quick Bites,"South Indian, Beverages",200.0,Delivery,Banashankari,4.0
1,0,18,Banashankari,Quick Bites,"Fast Food, Rolls",250.0,Delivery,Banashankari,3.6
1,0,40,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",600.0,Delivery,Banashankari,3.9
1,0,35,Basavanagudi,Quick Bites,Fast Food,200.0,Delivery,Banashankari,2.5
1,0,89,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls",250.0,Delivery,Banashankari,3.4
1,0,11,Basavanagudi,Quick Bites,"Beverages, Fast Food",150.0,Delivery,Banashankari,3.2
1,0,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600.0,Delivery,Banashankari,3.6
1,0,33,Jayanagar,Dessert Parlor,Desserts,300.0,Delivery,Banashankari,3.9
1,0,32,Jayanagar,Sweet Shop,"Desserts, Mithai",250.0,Delivery,Banashankari,3.8
1,0,139,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",550.0,Delivery,Banashankari,4.1
1,0,154,Vijay Nagar,Quick Bites,Fast Food,300.0,Delivery,Banashankari,3.2
1,0,14,Banashankari,Bakery,"Bakery, Desserts",350.0,Delivery,Banashankari,3.6
1,0,237,Banashankari,Quick Bites,"South Indian, Fast Food",200.0,Delivery,Banashankari,3.7
1,0,388,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra",650.0,Delivery,Banashankari,3.9
1,0,128,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",500.0,Delivery,Banashankari,3.9
1,1,1875,Jayanagar,Casual Dining,"North Indian, Afghani, Mughlai",1200.0,Delivery,Banashankari,4.1
1,0,90,Banashankari,Cafe,Cafe,650.0,Delivery,Banashankari,3.8
1,0,7,Kumaraswamy Layout,Quick Bites,"Italian, Chinese, Street Food",250.0,Delivery,Banashankari,3.1
1,0,38,Uttarahalli,Casual Dining,"South Indian, North Indian",400.0,Delivery,Banashankari,3.7
1,0,179,Banashankari,Delivery,Pizza,600.0,Delivery,Banashankari,4.2
1,0,43,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",250.0,Delivery,Banashankari,4.0
1,0,275,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,Banashankari,4.3
1,0,323,Jayanagar,Casual Dining,"Chinese, Thai, Momos",850.0,Delivery,Banashankari,3.7
1,0,28,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese",400.0,Delivery,Banashankari,3.1
1,0,18,Basavanagudi,Quick Bites,"South Indian, Healthy Food",200.0,Delivery,Banashankari,3.9
1,0,6,Basavanagudi,Quick Bites,"Street Food, Fast Food",100.0,Delivery,Banashankari,3.3
1,0,322,Jayanagar,Casual Dining,South Indian,400.0,Delivery,Banashankari,4.3
1,0,157,Jayanagar,Cafe,"Cafe, American, Pizza",450.0,Delivery,Banashankari,2.6
1,0,543,Basavanagudi,Quick Bites,"South Indian, Fast Food",300.0,Delivery,Banashankari,3.9
1,0,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500.0,Delivery,Banashankari,3.7
1,0,444,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,Banashankari,4.2
1,0,134,Jayanagar,Quick Bites,"Street Food, North Indian, South Indian",400.0,Delivery,Banashankari,3.9
1,0,577,Jayanagar,Casual Dining,"North Indian, South Indian, Biryani, Beverages",900.0,Delivery,Banashankari,3.8
1,0,60,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0,Delivery,Banashankari,4.2
1,0,144,Jayanagar,Casual Dining,"North Indian, Chinese, Rolls",550.0,Delivery,Banashankari,3.9
1,0,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800.0,Delivery,Banashankari,4.1
1,0,16,Basavanagudi,Quick Bites,South Indian,200.0,Delivery,Banashankari,3.6
1,0,84,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",250.0,Delivery,Banashankari,3.6
1,0,95,Banashankari,Quick Bites,"South Indian, Street Food",150.0,Delivery,Banashankari,3.6
1,1,349,Banashankari,Casual Dining,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200.0,Delivery,Banashankari,4.0
1,0,248,Kumaraswamy Layout,Quick Bites,"North Indian, Fast Food",400.0,Delivery,Banashankari,3.7
